canonical_afm	verdict	registry_spelling	times_seen	curated_json_name	suggested_display	your_display_name	notes
096064297	accepted	ΔΑ.Σ.Ε. ΒΑΘΗΣ	2	ΔΑ.Σ.Ε. ΒΑΘΗΣ1026,48	ΔΑ.Σ.Ε. ΒΑΘΗΣ		
096064297	accepted	ΔΑ.Σ.Ε. ΒΑΘΗΣ1026,48	1				
096064297	accepted	ΔΑΣΕ ΒΑΘΗΣ	1				
096064304	accepted	ΔΑ.Σ.Ε. ΕΛΛΗΝΙΚΟΥ	2	ΔΑ.Σ.Ε. ΕΛΛΗΝΙΚΟΥ	ΔΑ.Σ.Ε. ΕΛΛΗΝΙΚΟΥ		
096064304	accepted	ΔΑ.ΣΕ. ΕΛΛΗΝΙΚΟΥ	1				
096064304	accepted	ΔΑΣΕ ΕΛΛΗΝΙΚΟΥ	1				
096064365	accepted	ΔΑ.Σ.Ε. ΠΟΝΤΟΚΕΡΑΣΙΑΣ	1	ΔΑ.Σ.Ε. ΠΟΝΤΟΚΕΡΑΣΙΑΣ	ΔΑ.Σ.Ε. ΠΟΝΤΟΚΕΡΑΣΙΑΣ		
096064365	accepted	ΔΑ.ΣΕ. ΠΟΝΤΟΚΕΡΑΣΙΑΣ	1				
096064734	accepted	ΔΑΣΕ ΠΕΝΤΑΛΟΦΟΥ ΖΩΝΗΣ	2	ΔΑΣΕ ΠΕΝΤΑΛΟΦΟΥ ΖΩΝΗΣ	ΔΑΣΕ ΠΕΝΤΑΛΟΦΟΥ ΖΩΝΗΣ		
096064863	accepted	ΔΑ.Σ.Ε. ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ	8	ΔΑ.Σ.Ε. ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ	ΔΑ.Σ.Ε. ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ		
096065800	accepted	ΔΑΣΕ ΑΓΙΑΣ ΦΩΤΕΙΝΗΣ	12	ΔΑΣΕ ΑΓΙΑΣ ΦΩΤΕΙΝΗΣ	ΔΑΣΕ ΑΓΙΑΣ ΦΩΤΕΙΝΗΣ		
096066346	accepted	ΔΑΣΕ ΒΑΡΒΑΡΑΣ	9	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΒΑΡΒΑΡΑΣ	ΔΑΣΕ ΒΑΡΒΑΡΑΣ		
096066346	accepted	ΔΑΣΕ ΒΑΡΒΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ	4				
096066346	accepted	ΔΑΣΕ Βαρβάρας	3				
096066346	accepted	ΔΑ.Σ.Ε. Βαρβάρας Χαλκιδικής	1				
096066346	accepted	ΔΑΣΕ  ΒΑΡΒΑΑΡΑΣ	1				
096066346	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΒΑΡΒΑΡΑΣ	1				
096066790	accepted	ΔΑΣΕ ΜΙΚΡΟΚΛΕΙΣΟΥΡΑΣ	33	ΔΑΣΕ ΜΙΚΡΟΚΛΕΙΣΟΥΡΑΣ	ΔΑΣΕ ΜΙΚΡΟΚΛΕΙΣΟΥΡΑΣ		
096066790	accepted	ΜΙΚΡΟΚΛΕΙΣΟΥΡΑΣ	1				
096067226	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΣΙΔΗΡΟΧΩΡΙΟΥ	9	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΣΙΔΗΡΟΧΩΡΙΟΥ	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΣΙΔΗΡΟΧΩΡΙΟΥ		
096067226	accepted	ΔΑΣΕ ΣΙΔΗΡΟΧΩΡΙΟΥ	6				
096067380	accepted	ΔΑΣΕ ΛΕΚΑΝΗΣ	10	ΔΑΣΕ ΛΕΚΑΝΗΣ	ΔΑΣΕ ΛΕΚΑΝΗΣ		
096067681	accepted	ΔΑΣΕ ΡΕΥΜΑΤΟΣ ΩΡΑΙΟΥ	11	"ΔΑΣΕ:ΡΕΥΜΑΤΟΣ""ΩΡΑΙΟΥ"""	ΔΑΣΕ ΡΕΥΜΑΤΟΣ ΩΡΑΙΟΥ		
096067681	accepted	"ΔΑΣΕ ΡΕΥΜΑΤΟΣ""ΩΡΑΙΟΥ"""	11				
096067681	accepted	"ΔΑΣΕ:ΡΕΥΜΑΤΟΣ""ΩΡΑΙΟΥ"""	2				
096067681	accepted	ΔΑΣΕ ΡΕΥΜΑΥΟΣ ΩΡΑΙΟΥ	1				
096068432	accepted	ΔΑ.Σ.Ε. ΚΕΡΚΙΝΗΣ	4	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΚΕΡΚΙΝΗΣ	ΔΑ.Σ.Ε. ΚΕΡΚΙΝΗΣ		
096068432	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΚΕΡΚΙΝΗΣ	2				
